COST,COLUMN1,COLUMN2,COLUMN3,COLUMN4
9.878911E9,,M/S 3/7->B,,M/S 5/7->C,D,,M/S 7/7->A,
1.0958377E10,,M/S 3/7->B,,M/S 5/7->C,,M/S 7/7->A,,M/S 6/7->D,
1.10558761E10,,M/S 3/7->B,,M/S 5/7->C,,M/S 7/7->A,D,
1.11964682E10,,M/S 3/7->B,,M/S 7/7->A,,M/S 1/7->D,,M/S 6/7->C,
1.17584302E10,,M/S 3/7->B,,M/S 2/7->D,,M/S 7/7->A,,M/S 6/7->C,
1.12722842E10,,M/S 3/7->B,D,,M/S 7/7->A,,M/S 6/7->C,
1.11473828E10,,M/S 3/7->B,,M/S 7/7->A,,M/S 4/7->D,,M/S 6/7->C,
1.08880855E10,,M/S 3/7->B,,M/S 5/7->D,,M/S 7/7->A,,M/S 6/7->C,
1.19675515E10,,M/S 3/7->B,,M/S 7/7->A,,M/S 6/7->C,D,
1.20650506E10,,M/S 3/7->B,,M/S 7/7->A,D,,M/S 6/7->C,
1.01343048E10,,M/S 7/7->A,,M/S 4/7->B,,M/S 1/7->C,D,
1.07862528E10,,M/S 2/7->D,,M/S 7/7->A,,M/S 4/7->B,,M/S 1/7->C,
1.03240868E10,,M/S 3/7->D,,M/S 7/7->A,,M/S 4/7->B,,M/S 1/7->C,
9.7747077E9,,M/S 7/7->A,,M/S 4/7->B,D,,M/S 1/7->C,
9.9159081E9,,M/S 5/7->D,,M/S 7/7->A,,M/S 4/7->B,,M/S 1/7->C,
1.09953741E10,,M/S 7/7->A,,M/S 4/7->B,,M/S 1/7->C,,M/S 6/7->D,
1.10928732E10,,M/S 7/7->A,D,,M/S 4/7->B,,M/S 1/7->C,
1.08743526E10,,M/S 2/7->C,,M/S 7/7->A,,M/S 4/7->B,,M/S 1/7->D,
1.12078612E10,,M/S 2/7->C,D,,M/S 7/7->A,,M/S 4/7->B,
1.09741486E10,,M/S 3/7->D,,M/S 2/7->C,,M/S 7/7->A,,M/S 4/7->B,
1.04247695E10,,M/S 2/7->C,,M/S 7/7->A,,M/S 4/7->B,D,
1.05659699E10,,M/S 5/7->D,,M/S 2/7->C,,M/S 7/7->A,,M/S 4/7->B,
1.16454359E10,,M/S 2/7->C,,M/S 7/7->A,,M/S 4/7->B,,M/S 6/7->D,
1.17429361E10,,M/S 2/7->C,,M/S 7/7->A,D,,M/S 4/7->B,
1.03448535E10,,M/S 3/7->C,,M/S 7/7->A,,M/S 4/7->B,,M/S 1/7->D,
1.09068165E10,,M/S 3/7->C,,M/S 2/7->D,,M/S 7/7->A,,M/S 4/7->B,
1.03738532E10,,M/S 3/7->C,D,,M/S 7/7->A,,M/S 4/7->B,
9.8952704E9,,M/S 3/7->C,,M/S 7/7->A,,M/S 4/7->B,D,
1.00364708E10,,M/S 3/7->C,,M/S 5/7->D,,M/S 7/7->A,,M/S 4/7->B,
1.11159378E10,,M/S 3/7->C,,M/S 7/7->A,,M/S 4/7->B,,M/S 6/7->D,
1.12134359E10,,M/S 3/7->C,,M/S 7/7->A,D,,M/S 4/7->B,
9.7699942E9,,M/S 7/7->A,,M/S 4/7->B,C,,M/S 1/7->D,
1.03319572E10,,M/S 2/7->D,,M/S 7/7->A,,M/S 4/7->B,C,
9.8697902E9,,M/S 3/7->D,,M/S 7/7->A,,M/S 4/7->B,C,
9.4616115E9,,M/S 5/7->D,,M/S 7/7->A,,M/S 4/7->B,C,
1.05410785E10,,M/S 7/7->A,,M/S 4/7->B,C,,M/S 6/7->D,
1.06385766E10,,M/S 7/7->A,D,,M/S 4/7->B,C,
1.00153498E10,,M/S 5/7->C,,M/S 7/7->A,,M/S 4/7->B,,M/S 1/7->D,
1.05773128E10,,M/S 5/7->C,,M/S 2/7->D,,M/S 7/7->A,,M/S 4/7->B,
1.01151457E10,,M/S 3/7->D,,M/S 5/7->C,,M/S 7/7->A,,M/S 4/7->B,
9.5657677E9,,M/S 5/7->C,,M/S 7/7->A,,M/S 4/7->B,D,
9.7069681E9,,M/S 5/7->C,D,,M/S 7/7->A,,M/S 4/7->B,
1.0786434E10,,M/S 5/7->C,,M/S 7/7->A,,M/S 4/7->B,,M/S 6/7->D,
1.08839332E10,,M/S 5/7->C,,M/S 7/7->A,D,,M/S 4/7->B,
1.10245243E10,,M/S 7/7->A,,M/S 4/7->B,,M/S 1/7->D,,M/S 6/7->C,
1.15864863E10,,M/S 2/7->D,,M/S 7/7->A,,M/S 4/7->B,,M/S 6/7->C,
1.11243203E10,,M/S 3/7->D,,M/S 7/7->A,,M/S 4/7->B,,M/S 6/7->C,
1.05749412E10,,M/S 7/7->A,,M/S 4/7->B,D,,M/S 6/7->C,
1.07161416E10,,M/S 5/7->D,,M/S 7/7->A,,M/S 4/7->B,,M/S 6/7->C,
1.17956076E10,,M/S 7/7->A,,M/S 4/7->B,,M/S 6/7->C,D,
1.18931067E10,,M/S 7/7->A,D,,M/S 4/7->B,,M/S 6/7->C,
1.00078387E10,,M/S 5/7->B,,M/S 7/7->A,,M/S 1/7->C,D,
1.06597878E10,,M/S 5/7->B,,M/S 2/7->D,,M/S 7/7->A,,M/S 1/7->C,
1.01976207E10,,M/S 3/7->D,,M/S 5/7->B,,M/S 7/7->A,,M/S 1/7->C,
1.00487404E10,,M/S 5/7->B,,M/S 7/7->A,,M/S 4/7->D,,M/S 1/7->C,
9.7894431E9,,M/S 5/7->B,D,,M/S 7/7->A,,M/S 1/7->C,
1.08689091E10,,M/S 5/7->B,,M/S 7/7->A,,M/S 1/7->C,,M/S 6/7->D,
1.09664082E10,,M/S 5/7->B,,M/S 7/7->A,D,,M/S 1/7->C,
1.07478876E10,,M/S 5/7->B,,M/S 2/7->C,,M/S 7/7->A,,M/S 1/7->D,
1.10813962E10,,M/S 5/7->B,,M/S 2/7->C,D,,M/S 7/7->A,
1.08476836E10,,M/S 3/7->D,,M/S 5/7->B,,M/S 2/7->C,,M/S 7/7->A,
1.06988022E10,,M/S 5/7->B,,M/S 2/7->C,,M/S 7/7->A,,M/S 4/7->D,
1.04395049E10,,M/S 5/7->B,D,,M/S 2/7->C,,M/S 7/7->A,
1.15189719E10,,M/S 5/7->B,,M/S 2/7->C,,M/S 7/7->A,,M/S 6/7->D,
1.1616471E10,,M/S 5/7->B,,M/S 2/7->C,,M/S 7/7->A,D,
1.02183875E10,,M/S 3/7->C,,M/S 5/7->B,,M/S 7/7->A,,M/S 1/7->D,
1.07803505E10,,M/S 3/7->C,,M/S 5/7->B,,M/S 2/7->D,,M/S 7/7->A,
1.02473882E10,,M/S 3/7->C,D,,M/S 5/7->B,,M/S 7/7->A,
1.0169302E10,,M/S 3/7->C,,M/S 5/7->B,,M/S 7/7->A,,M/S 4/7->D,
9.9100058E9,,M/S 3/7->C,,M/S 5/7->B,D,,M/S 7/7->A,
1.09894717E10,,M/S 3/7->C,,M/S 5/7->B,,M/S 7/7->A,,M/S 6/7->D,
1.10869709E10,,M/S 3/7->C,,M/S 5/7->B,,M/S 7/7->A,D,
1.00583475E10,,M/S 5/7->B,,M/S 7/7->A,,M/S 4/7->C,,M/S 1/7->D,
1.06203105E10,,M/S 5/7->B,,M/S 2/7->D,,M/S 7/7->A,,M/S 4/7->C,
1.01581435E10,,M/S 3/7->D,,M/S 5/7->B,,M/S 7/7->A,,M/S 4/7->C,
9.5417231E9,,M/S 5/7->B,,M/S 7/7->A,,M/S 4/7->C,D,
9.7499658E9,,M/S 5/7->B,D,,M/S 7/7->A,,M/S 4/7->C,
1.08294318E10,,M/S 5/7->B,,M/S 7/7->A,,M/S 4/7->C,,M/S 6/7->D,
1.09269309E10,,M/S 5/7->B,,M/S 7/7->A,D,,M/S 4/7->C,
9.8888847E9,,M/S 5/7->B,C,,M/S 7/7->A,,M/S 1/7->D,
1.04508477E10,,M/S 5/7->B,C,,M/S 2/7->D,,M/S 7/7->A,
9.9886807E9,,M/S 3/7->D,,M/S 5/7->B,C,,M/S 7/7->A,
9.8397993E9,,M/S 5/7->B,C,,M/S 7/7->A,,M/S 4/7->D,
1.0659969E10,,M/S 5/7->B,C,,M/S 7/7->A,,M/S 6/7->D,
1.07574682E10,,M/S 5/7->B,C,,M/S 7/7->A,D,
1.08980582E10,,M/S 5/7->B,,M/S 7/7->A,,M/S 1/7->D,,M/S 6/7->C,
1.14600202E10,,M/S 5/7->B,,M/S 2/7->D,,M/S 7/7->A,,M/S 6/7->C,
1.09978542E10,,M/S 3/7->D,,M/S 5/7->B,,M/S 7/7->A,,M/S 6/7->C,
1.08489728E10,,M/S 5/7->B,,M/S 7/7->A,,M/S 4/7->D,,M/S 6/7->C,
1.05896765E10,,M/S 5/7->B,D,,M/S 7/7->A,,M/S 6/7->C,
1.16691425E10,,M/S 5/7->B,,M/S 7/7->A,,M/S 6/7->C,D,
1.17666417E10,,M/S 5/7->B,,M/S 7/7->A,D,,M/S 6/7->C,
1.05730232E10,,M/S 7/7->A,,M/S 1/7->C,D,,M/S 6/7->B,
1.12249713E10,,M/S 2/7->D,,M/S 7/7->A,,M/S 1/7->C,,M/S 6/7->B,
1.07628052E10,,M/S 3/7->D,,M/S 7/7->A,,M/S 1/7->C,,M/S 6/7->B,
1.06139238E10,,M/S 7/7->A,,M/S 4/7->D,,M/S 1/7->C,,M/S 6/7->B,
1.03546266E10,,M/S 5/7->D,,M/S 7/7->A,,M/S 1/7->C,,M/S 6/7->B,
1.14340925E10,,M/S 7/7->A,,M/S 1/7->C,,M/S 6/7->B,D,
1.15315917E10,,M/S 7/7->A,D,,M/S 1/7->C,,M/S 6/7->B,
1.13130711E10,,M/S 2/7->C,,M/S 7/7->A,,M/S 1/7->D,,M/S 6/7->B,
1.16465797E10,,M/S 2/7->C,D,,M/S 7/7->A,,M/S 6/7->B,
1.14128671E10,,M/S 3/7->D,,M/S 2/7->C,,M/S 7/7->A,,M/S 6/7->B,
1.12639857E10,,M/S 2/7->C,,M/S 7/7->A,,M/S 4/7->D,,M/S 6/7->B,
1.10046884E10,,M/S 5/7->D,,M/S 2/7->C,,M/S 7/7->A,,M/S 6/7->B,
1.20841544E10,,M/S 2/7->C,,M/S 7/7->A,,M/S 6/7->B,D,
1.21816545E10,,M/S 2/7->C,,M/S 7/7->A,D,,M/S 6/7->B,
1.0783572E10,,M/S 3/7->C,,M/S 7/7->A,,M/S 1/7->D,,M/S 6/7->B,
1.1345535E10,,M/S 3/7->C,,M/S 2/7->D,,M/S 7/7->A,,M/S 6/7->B,
1.08125716E10,,M/S 3/7->C,D,,M/S 7/7->A,,M/S 6/7->B,
1.07344865E10,,M/S 3/7->C,,M/S 7/7->A,,M/S 4/7->D,,M/S 6/7->B,
1.04751892E10,,M/S 3/7->C,,M/S 5/7->D,,M/S 7/7->A,,M/S 6/7->B,
1.15546563E10,,M/S 3/7->C,,M/S 7/7->A,,M/S 6/7->B,D,
1.16521544E10,,M/S 3/7->C,,M/S 7/7->A,D,,M/S 6/7->B,
1.0623532E10,,M/S 7/7->A,,M/S 4/7->C,,M/S 1/7->D,,M/S 6/7->B,
1.1185494E10,,M/S 2/7->D,,M/S 7/7->A,,M/S 4/7->C,,M/S 6/7->B,
1.0723328E10,,M/S 3/7->D,,M/S 7/7->A,,M/S 4/7->C,,M/S 6/7->B,
1.01069076E10,,M/S 7/7->A,,M/S 4/7->C,D,,M/S 6/7->B,
1.03151493E10,,M/S 5/7->D,,M/S 7/7->A,,M/S 4/7->C,,M/S 6/7->B,
1.13946153E10,,M/S 7/7->A,,M/S 4/7->C,,M/S 6/7->B,D,
1.14921144E10,,M/S 7/7->A,D,,M/S 4/7->C,,M/S 6/7->B,
1.04540682E10,,M/S 5/7->C,,M/S 7/7->A,,M/S 1/7->D,,M/S 6/7->B,
1.10160312E10,,M/S 5/7->C,,M/S 2/7->D,,M/S 7/7->A,,M/S 6/7->B,
1.05538642E10,,M/S 3/7->D,,M/S 5/7->C,,M/S 7/7->A,,M/S 6/7->B,
1.04049838E10,,M/S 5/7->C,,M/S 7/7->A,,M/S 4/7->D,,M/S 6/7->B,
1.01456865E10,,M/S 5/7->C,D,,M/S 7/7->A,,M/S 6/7->B,
1.12251525E10,,M/S 5/7->C,,M/S 7/7->A,,M/S 6/7->B,D,
1.13226516E10,,M/S 5/7->C,,M/S 7/7->A,D,,M/S 6/7->B,
1.14632428E10,,M/S 7/7->A,,M/S 1/7->D,,M/S 6/7->B,C,
1.20252047E10,,M/S 2/7->D,,M/S 7/7->A,,M/S 6/7->B,C,
1.15630387E10,,M/S 3/7->D,,M/S 7/7->A,,M/S 6/7->B,C,
1.14141573E10,,M/S 7/7->A,,M/S 4/7->D,,M/S 6/7->B,C,
1.115486E10,,M/S 5/7->D,,M/S 7/7->A,,M/S 6/7->B,C,
1.23318252E10,,M/S 7/7->A,D,,M/S 6/7->B,C,
